ids,lat,lon,t1_count,t2_count,theta,dx,dy,zdx,zdy,abs_dist,percentile_cat,lisa_cat
358,31.604708,65.705751,0.0,0.0,3.15079540784,-0.325711045526,-0.00299752333065,-0.284530009076,-0.360138894979,0.075608885903,0,Ll
359,31.604708,65.706751,0.0,0.0,3.18739058526,-0.0348750196923,-0.0015983213919,-0.0304656222314,-0.170211929637,0.139746307406,0,Ll
362,31.604708,65.709751,0.0,0.0,3.1487911335,-2.07358303768,-0.0149269036726,-1.81141109163,-1.97942696486,0.168015873229,0,Ll
363,31.604708,65.710751,0.0,0.0,5.94054845428,0.0560645290498,-0.0199985794941,0.0489760515601,-2.66785368248,2.71682973404,3,Hl
365,31.604708,65.712751,0.0,0.0,4.40736535795,-0.00586521871491,-0.0186286606188,-0.00512365410111,-2.4819015854,2.4767779313,2,lL
366,31.604708,65.713751,0.0,0.0,5.31699320479,0.0193398673182,-0.0279915759879,0.0168946454202,-3.7528189945,3.76971363992,3,hL
369,31.604708,65.716751,0.0,0.0,3.16486641126,-1.01343607485,-0.0235907252221,-0.885303030202,-3.15544973155,2.27014670135,2,Ll
371,31.604708,65.718751,0.0,0.0,3.56621635514,-0.0232500131282,-0.0105120250267,-0.0203104148209,-1.38015356454,1.35984314972,1,Ll
372,31.604708,65.719751,0.0,0.0,3.17736077087,-0.232500131282,-0.00831964020034,-0.203104148209,-1.08256035415,0.879456205936,1,Ll
373,31.604708,65.720751,0.0,0.0,3.6046241079,-0.0348750196923,-0.0174106576067,-0.0304656222314,-2.31657047094,2.28610484871,2,Ll
376,31.604708,65.723751,0.0,0.0,3.79211059674,-0.0232500131282,-0.0176937712392,-0.0203104148209,-2.35500017261,2.33468975779,2,Ll
377,31.604708,65.724751,0.0,0.0,3.69788324097,-0.0116250065641,-0.00722835986071,-0.0101552074105,-0.934430511338,0.924275303927,1,Ll
410,31.605708,65.700751,0.0,0.0,3.15100776079,-0.401431734491,-0.00377963449595,-0.350677008432,-0.466302270025,0.115625261593,0,Ll
411,31.605708,65.701751,0.0,0.0,3.16309612606,-0.279000157538,-0.00600039709624,-0.243724977851,-0.767747465131,0.52402248728,0,Ll
412,31.605708,65.702751,0.0,0.0,3.15643505073,-0.277093198177,-0.00411302932586,-0.242059123494,-0.511557116056,0.269497992562,0,Ll
413,31.605708,65.703751,0.0,0.0,3.15947579808,-0.191069990358,-0.00341729654545,-0.166912196678,-0.417118699403,0.250206502725,0,Ll
414,31.605708,65.704751,0.0,0.0,3.18358886751,-0.0680539417548,-0.00285968928781,-0.0594495916892,-0.341429371535,0.281979779846,0,Ll
415,31.605708,65.705751,0.0,0.0,3.14394508648,-0.406923343287,-0.000957261622835,-0.355474289709,-0.0831947999646,0.272279489745,0,Ll
416,31.605708,65.706751,0.0,0.0,6.27606282536,0.40497747416,-0.00288449347177,0.353774445114,-0.344796278953,0.698570724068,0,Hl
417,31.605708,65.707751,0.0,0.0,3.16463344466,-0.377070095384,-0.00868953103392,-0.329395515245,-1.13276914931,0.803373634061,1,Ll
418,31.605708,65.708751,0.0,0.0,3.15562732761,-1.26252566716,-0.0177202996627,-1.10289916314,-2.35860112744,1.2557019643,1,Ll
419,31.605708,65.709751,0.0,0.0,3.14463659909,-3.36337429464,-0.0102379596796,-2.93812853978,-1.34295207258,1.59517646721,1,Ll
420,31.605708,65.710751,0.0,0.0,3.1456702881,-5.39405115928,-0.0219950910388,-4.7120582688,-2.93885915242,1.77319911638,2,Ll
421,31.605708,65.711751,0.0,0.0,3.14886059041,-3.94357031419,-0.0286621245501,-3.44496790239,-3.84383891808,0.398871015688,0,Ll
422,31.605708,65.712751,0.0,0.0,3.1470883765,-4.11350811251,-0.0226069283896,-3.59341974018,-3.02190964578,0.571510094409,0,Ll
423,31.605708,65.713751,0.0,0.0,3.14432104508,-6.18080420802,-0.0168636954754,-5.39933877455,-2.24232610717,3.15701266738,3,Ll
424,31.605708,65.714751,0.0,0.0,3.14862968578,-2.90049185317,-0.0204111914712,-2.5337702993,-2.72386142411,0.1900911248,0,Ll
425,31.605708,65.715751,0.0,0.0,3.16117974333,-1.84261625584,-0.0360961062233,-1.60964642495,-4.85292384035,3.2432774154,3,Ll
426,31.605708,65.716751,0.0,0.0,3.15476820137,-2.26708714173,-0.0298718435183,-1.98044964662,-4.00804556058,2.02759591396,2,Ll
427,31.605708,65.717751,0.0,0.0,3.33300346918,-0.139605509635,-0.0270532069873,-0.121954589717,-3.62544525972,3.50349067,3,Ll
428,31.605708,65.718751,0.0,0.0,4.01826300546,-0.017490225279,-0.0210144202129,-0.0152788615116,-2.8057433892,2.79046452769,3,lL
429,31.605708,65.719751,0.0,0.0,3.18818870036,-0.209250118154,-0.00975729096409,-0.182793733388,-1.2777063436,1.09491261021,1,Ll
430,31.605708,65.720751,0.0,0.0,3.22109403926,-0.139500078769,-0.0111138744068,-0.121862488925,-1.46184829579,1.33998580687,1,Ll
431,31.605708,65.721751,0.0,0.0,3.26534443243,-0.0581250328205,-0.00723002200762,-0.0507760370523,-0.934656130321,0.883880093269,1,Ll
433,31.605708,65.723751,0.0,0.0,3.28602745693,-0.0348750196923,-0.00507248885884,-0.0304656222314,-0.641793669066,0.611328046834,0,Ll
436,31.605708,65.726751,0.0,0.0,0.238044084956,0.0193398673182,0.00469271522745,0.0168946454202,0.68373020758,0.66683556216,0,Hh
437,31.605708,65.727751,0.0,0.0,0.355032680945,0.0193398673182,0.00717010697448,0.0168946454202,1.02001011361,1.00311546819,1,Hh
439,31.605708,65.729751,0.0,0.0,0.0869920511911,0.0193398673182,0.00168667157065,0.0168946454202,0.275691357996,0.258796712576,0,Hh
464,31.606708,65.697751,0.0,0.0,3.14564492402,-0.100820344133,-0.000408553536063,-0.0880731980851,-0.00871344106024,0.0793597570249,0,Ll
465,31.606708,65.698751,0.0,0.0,3.16215939818,-0.0662616170375,-0.00136297793499,-0.0578838782291,-0.138266527514,0.0803826492852,0,Ll
469,31.606708,65.702751,0.0,0.0,3.14575722768,-0.343622994268,-0.00143105169279,-0.300177273755,-0.147506825058,0.152670448697,0,Ll
472,31.606708,65.705751,0.0,0.0,6.14147380827,0.0193398673182,-0.00275917642571,0.0168946454202,-0.327785806337,0.344680451757,0,Hl
473,31.606708,65.706751,0.0,0.0,3.15015368151,-0.190121112567,-0.00162767191866,-0.166083289552,-0.174195955334,0.00811266578217,0,Ll
475,31.606708,65.708751,0.0,0.0,3.78765212935,-0.0116250065641,-0.0087653147262,-0.0101552074105,-1.14305598947,1.13290078206,1,Ll
476,31.606708,65.709751,0.0,0.0,3.16337857886,-0.682070672337,-0.0148618920532,-0.595833568608,-1.97060232043,1.37476875183,1,Ll
477,31.606708,65.710751,0.0,0.0,3.32033565603,-0.0950605562834,-0.017174705244,-0.0830416447758,-2.28454241626,2.20150077148,2,Ll
479,31.606708,65.712751,0.0,0.0,4.62185124305,-0.00195507290497,-0.021534976205,-0.00170788470037,-2.87640339698,2.87469551228,3,lL
480,31.606708,65.713751,0.0,0.0,3.15998379484,-1.3623971335,-0.0250588634412,-1.1901434541,-3.35473407281,2.16459061871,2,Ll
481,31.606708,65.714751,0.0,0.0,3.23214761211,-0.430230673737,-0.0390663632388,-0.375834774979,-5.25610502929,4.88027025432,3,Ll
482,31.606708,65.715751,0.0,0.0,3.1478183205,-3.77453328012,-0.0234992905419,-3.29730294137,-3.14303843419,0.154264507185,0,Ll
483,31.606708,65.716751,0.0,0.0,3.14326105674,-9.07083079415,-0.0151338167246,-7.92396697515,-2.00751323816,5.91645373699,3,Ll
484,31.606708,65.717751,0.0,0.0,3.14714956018,-4.68910408374,-0.0260571815708,-4.09624065819,-3.49024527212,0.605995386071,0,Ll
485,31.606708,65.718751,0.0,0.0,3.14878692953,-3.79492745609,-0.0273022263298,-3.31511859471,-3.65924701965,0.344128424944,0,Ll
486,31.606708,65.719751,0.0,0.0,3.14462460417,-3.78515209157,-0.0114764292392,-3.30657917121,-1.51106130585,1.79551786536,2,Ll
487,31.606708,65.720751,0.0,0.0,3.22201883367,-0.0944760846329,-0.00761477607753,-0.0825310703684,-0.986882453683,0.904351383314,1,Ll
488,31.606708,65.721751,0.0,0.0,3.14450499251,-3.56036682104,-0.0103690241697,-3.11021446101,-1.36074270034,1.74947176067,2,Ll
489,31.606708,65.722751,0.0,0.0,3.14362774511,-2.31939506938,-0.00472018776385,-2.02614405992,-0.59397249615,1.43217156377,1,Ll
490,31.606708,65.723751,0.0,0.0,3.15091552699,-1.05174219956,-0.00980554345955,-0.918765948218,-1.28425611299,0.365490164774,0,Ll
491,31.606708,65.724751,0.0,0.0,4.44708816532,-0.000575267872398,-0.00211724740793,-0.000502534302116,-0.240650685282,0.24014815098,0,lL
492,31.606708,65.725751,0.0,0.0,0.00419179679272,0.81069296438,0.0033982800719,0.708193595771,0.50802423254,0.200169363231,0,Hh
493,31.606708,65.726751,0.0,0.0,0.00326288905194,1.28214291731,0.00418350493441,1.1200361207,0.614610259272,0.505425861425,0,Hh
494,31.606708,65.727751,0.0,0.0,0.0106842061086,0.660833049436,0.00706074517229,0.577281108936,1.00516539775,0.427884288811,0,Hh
495,31.606708,65.728751,0.0,0.0,0.0199667070019,0.142988501116,0.00285538896857,0.124909855159,0.434332468033,0.309422612874,0,Hh
496,31.606708,65.729751,0.0,0.0,3.00345557016,-0.0116250065641,0.00161613723385,-0.0101552074105,0.266117062698,0.276272270109,0,Lh
497,31.606708,65.730751,0.0,0.0,3.37503157516,-0.0232500131282,-0.00552824289779,-0.0203104148209,-0.70365749241,0.683347077589,0,Ll
499,31.606708,65.732751,0.0,0.0,3.32376456267,-0.0348750196923,-0.00642447549307,-0.0304656222314,-0.825311652791,0.79484603056,1,Ll
500,31.606708,65.733751,0.0,0.0,5.63675382409,0.0153242906426,-0.011563538212,0.0133867752277,-1.52288543388,1.53627220911,1,Hl
501,31.606708,65.734751,0.0,0.0,3.19680788591,-0.151125085333,-0.00835289697494,-0.132017696336,-1.08707461195,0.955056915618,1,Ll
521,31.607708,65.697751,0.0,0.0,0.00887052245478,0.0541094561448,0.000479991735385,0.0472681668598,0.111897245862,0.0646290790024,0,Hh
523,31.607708,65.699751,0.0,0.0,3.15035066935,-0.244125137846,-0.00213810647083,-0.21325935562,-0.243482083958,0.0302227283387,0,Ll
526,31.607708,65.702751,0.0,0.0,3.23172035389,-0.0763532741595,-0.00690023868807,-0.0666996041062,-0.889891508883,0.823191904776,1,Ll
527,31.607708,65.703751,0.0,0.0,3.70378469961,-0.0116250065641,-0.00732384023665,-0.0101552074105,-0.947390969403,0.937235761993,1,Ll
530,31.607708,65.706751,0.0,0.0,3.14693255009,-0.65306087136,-0.00348731060653,-0.570491600478,-0.426622372737,0.143869227741,0,Ll
533,31.607708,65.709751,0.0,0.0,3.15725824515,-0.531261879601,-0.00832321249857,-0.464092174647,-1.08304525611,0.618953081459,0,Ll
534,31.607708,65.710751,0.0,0.0,5.4577287748,0.0134746486033,-0.0145998699623,0.0117709913191,-1.93503557399,1.94680656531,2,hL
536,31.607708,65.712751,0.0,0.0,6.16873827592,0.10636927025,-0.0122270777939,0.0929205498109,-1.612953962,1.70587451181,2,Hl
537,31.607708,65.713751,0.0,0.0,3.15485316604,-1.12794192931,-0.0149579647537,-0.98533142119,-1.98364318033,0.998311759145,1,Ll
539,31.607708,65.715751,0.0,0.0,5.65923668077,0.0386797346365,-0.0278450380029,0.0337892908403,-3.73292800233,3.76671729317,3,Hl
540,31.607708,65.716751,0.0,0.0,3.15716426257,-1.52836746869,-0.0238010643479,-1.33512945205,-3.18400105839,1.84887160634,2,Ll
541,31.607708,65.717751,0.0,0.0,3.44719150556,-0.0891953375685,-0.0281394839818,-0.0779179906747,-3.77289595098,3.69497796031,3,Ll
543,31.607708,65.719751,0.0,0.0,3.3958952349,-0.0348750196923,-0.00906506727525,-0.0304656222314,-1.18374424927,1.15327862704,1,Ll
544,31.607708,65.720751,0.0,0.0,4.70275065956,-0.000105430865724,-0.0109383784607,-9.21007917704e-05,-1.4380265646,1.4379344638,1,lL
545,31.607708,65.721751,0.0,0.0,6.24884639611,0.210572605864,-0.00723367743352,0.183949013338,-0.935152315989,1.11910132933,1,Hl
546,31.607708,65.722751,0.0,0.0,3.17748466581,-0.240320422902,-0.00862928939494,-0.209935687011,-1.12459197962,0.914656292609,1,Ll
547,31.607708,65.723751,0.0,0.0,3.31732130284,-0.0232500131282,-0.00412827562889,-0.0203104148209,-0.513626641538,0.493316226717,0,Ll
548,31.607708,65.724751,0.0,0.0,3.32399032438,-0.00391014580994,-0.000721217321776,-0.00341576940074,-0.0511542656106,0.0477384962099,0,Ll
549,31.607708,65.725751,0.0,0.0,0.0296947887957,0.201113533937,0.0059737798716,0.175685892211,0.857621276147,0.681935383936,0,Hh
550,31.607708,65.726751,0.0,0.0,0.00974551264701,0.508864517177,0.00495930259204,0.444526606266,0.71991664197,0.275390035704,0,Hh
551,31.607708,65.727751,0.0,0.0,0.00368054058574,1.32452193602,0.00487497875503,1.15705697935,0.708470566871,0.448586412484,0,Hh
552,31.607708,65.728751,0.0,0.0,0.00121652153107,1.36002954091,0.00165450603559,1.18807520634,0.271325224492,0.916749981845,1,Hh
553,31.607708,65.729751,0.0,0.0,3.13679098046,-0.732001803619,0.00351486040353,-0.639451694035,0.523848787946,1.16330048198,1,Lh
