ids,lat,lon,t1_count,t2_count,theta,dx,dy,zdx,zdy,abs_dist,lisa_cat
28,31.598708,65.717751,0.0,0.0,3.20490496911,-0.0348562426152,-0.0022097828203,-0.0304577370591,-0.253732557522,0.223274820463,Ll
32,31.598708,65.721751,0.0,0.0,3.16222133735,-0.139424970461,-0.00287656166907,-0.121830948236,-0.344277021688,0.222446073452,Ll
34,31.598708,65.723751,0.0,0.0,3.16619908935,-0.104568727846,-0.00257358312045,-0.0913732111772,-0.303134399379,0.211761188202,Ll
71,31.599708,65.703751,0.0,0.0,3.23154748678,-0.127806222922,-0.0115278983431,-0.111678369217,-1.51907529987,1.40739693066,Ll
77,31.599708,65.709751,0.0,0.0,3.1831765172,-0.267231193383,-0.0111189152442,-0.233509317453,-1.46353791201,1.23002859455,Ll
85,31.599708,65.717751,0.0,0.0,3.164789051,-0.058093737692,-0.00134780717468,-0.0507628950985,-0.136681569627,0.0859186745287,Ll
86,31.599708,65.718751,0.0,0.0,3.2765595963,-0.0116187475384,-0.00157773855598,-0.0101525790197,-0.167904836161,0.157752257142,Ll
128,31.600708,65.703751,0.0,0.0,3.49740138173,-0.0232374950768,-0.00863564045855,-0.0203051580394,-1.12632447871,1.10601932067,Ll
129,31.600708,65.704751,0.0,0.0,3.35889509095,-0.0116187475384,-0.00256528777238,-0.0101525790197,-0.302007942162,0.291855363143,Ll
131,31.600708,65.706751,0.0,0.0,3.17204538005,-0.232374950768,-0.00707863911655,-0.203051580394,-0.914893278585,0.711841698192,Ll
132,31.600708,65.707751,0.0,0.0,3.39990279092,-0.0232374950768,-0.00613964603501,-0.0203051580394,-0.787383796874,0.767078638835,Ll
134,31.600708,65.709751,0.0,0.0,3.152292897,-0.708743599842,-0.00758401848344,-0.619307320201,-0.983520686398,0.364213366197,Ll
143,31.600708,65.718751,0.0,0.0,3.1463910184,-0.185899960614,-0.000892022674959,-0.162441264315,-0.074788839559,0.0876524247561,Ll
144,31.600708,65.719751,0.0,0.0,3.21371306443,-0.0232374950768,-0.00167880939551,-0.0203051580394,-0.181629634159,0.161324476119,Ll
189,31.601708,65.707751,0.0,0.0,3.17818245176,-0.162662465538,-0.00595444431698,-0.142136106276,-0.762234543335,0.620098437059,Ll
191,31.601708,65.709751,0.0,0.0,3.1460178545,-1.12701851122,-0.00498731589081,-0.98480016491,-0.630904454973,0.353895709937,Ll
199,31.601708,65.717751,0.0,0.0,3.14608060449,-0.243993698306,-0.00109503908892,-0.213204159414,-0.10235721917,0.110846940244,Ll
200,31.601708,65.718751,0.0,0.0,3.16071547937,-0.0697124852304,-0.00133326223064,-0.0609154741182,-0.134706455739,0.0737909816206,Ll
247,31.602708,65.708751,0.0,0.0,3.29050307951,-0.0697124852304,-0.0104583325041,-0.0609154741182,-1.37383484127,1.31291936715,Ll
248,31.602708,65.709751,0.0,0.0,3.16548472653,-0.36018117369,-0.00860711267234,-0.314729949611,-1.12245058091,0.807720631302,Ll
255,31.602708,65.716751,0.0,0.0,3.24417978357,-0.0348562426152,-0.00358839897877,-0.0304577370591,-0.440940147549,0.41048241049,Ll
300,31.603708,65.704751,0.0,0.0,3.21319826578,-0.0697124852304,-0.00500035431648,-0.0609154741182,-0.632674992939,0.57175951882,Ll
304,31.603708,65.708751,0.0,0.0,3.45087569788,-0.0464749901536,-0.0148504865564,-0.0406103160788,-1.97026233133,1.92965201525,Ll
305,31.603708,65.709751,0.0,0.0,3.1497855967,-1.40206680074,-0.0114873105681,-1.22514013997,-1.51356372981,0.288423589848,Ll
306,31.603708,65.710751,0.0,0.0,4.07924482878,-0.0116187475384,-0.0158306197769,-0.0101525790197,-2.10335839072,2.0932058117,lL
309,31.603708,65.713751,0.0,0.0,3.34921987766,-0.211091729725,-0.0444692430636,-0.184454086755,-5.99230718494,5.80785309818,Ll
310,31.603708,65.714751,0.0,0.0,3.42047773979,-0.0929499803072,-0.0266160046071,-0.0812206321576,-3.56794727514,3.48672664299,Ll
312,31.603708,65.716751,0.0,0.0,3.19873705645,-0.180144035177,-0.0103054431773,-0.157411678498,-1.3530734116,1.1956617331,Ll
313,31.603708,65.717751,0.0,0.0,3.19353933347,-0.058093737692,-0.00302049417582,-0.0507628950985,-0.363822170314,0.313059275215,Ll
321,31.603708,65.725751,0.0,0.0,3.0498768465,-0.0697124852304,0.0064117249633,-0.0609154741182,0.917015140914,0.977930615032,Lh
350,31.604708,65.697751,0.0,0.0,6.23524057376,0.0676513145322,-0.00324601182145,0.0591144023316,-0.394446078706,0.453560481038,Hl
353,31.604708,65.700751,0.0,0.0,3.21252876859,-0.116187475384,-0.00825574020518,-0.101525790197,-1.07473636229,0.973210572096,Ll
354,31.604708,65.701751,0.0,0.0,3.15995706585,-0.325859414397,-0.00598488944551,-0.28473924948,-0.766368804425,0.481629554945,Ll
355,31.604708,65.702751,0.0,0.0,3.1504307624,-0.405313135722,-0.00358229487023,-0.354166714144,-0.440111247175,0.085944533031,Ll
356,31.604708,65.703751,0.0,0.0,3.14319368642,-1.51520090137,-0.00242588846021,-1.32399786045,-0.283078373462,1.04091948699,Ll
357,31.604708,65.704751,0.0,0.0,6.22124712802,0.0597273217326,-0.00370413954328,0.0521903373424,-0.456657003917,0.508847341259,Hl
358,31.604708,65.705751,0.0,0.0,3.15079575989,-0.325538724404,-0.00299605207081,-0.284459027323,-0.360503082876,0.076044055553,Ll
359,31.604708,65.706751,0.0,0.0,3.18739578148,-0.0348562426152,-0.00159764233991,-0.0304577370591,-0.170607647528,0.140149910469,Ll
362,31.604708,65.709751,0.0,0.0,3.14879115606,-2.07247319656,-0.0149189611142,-1.81094802385,-1.97956075487,0.16861273102,Ll
363,31.604708,65.710751,0.0,0.0,5.94053693152,0.0560325669938,-0.0199879062275,0.0489618233119,-2.6678923059,2.71685412921,Hl
365,31.604708,65.712751,0.0,0.0,4.40732856931,-0.0058628221014,-0.0186186574903,-0.00512299320268,-2.48195675404,2.47683376084,lL
366,31.604708,65.713751,0.0,0.0,5.31698021298,0.0193289470092,-0.0279765476483,0.0168898292376,-3.75270064707,3.7695904763,hL
369,31.604708,65.716751,0.0,0.0,3.16486641697,-1.01289220654,-0.0235780708582,-0.8850754465,-3.15541456812,2.27033912162,Ll
371,31.604708,65.718751,0.0,0.0,3.56621792811,-0.0232374950768,-0.0105064092657,-0.0203051580394,-1.38036336962,1.36005821158,Ll
372,31.604708,65.719751,0.0,0.0,3.17736092601,-0.232374950768,-0.00831519691421,-0.203051580394,-1.08281021747,0.879758637076,Ll
373,31.604708,65.720751,0.0,0.0,3.60462685921,-0.0348562426152,-0.0174014033274,-0.0304577370591,-2.31666112995,2.28620339289,Ll
376,31.604708,65.723751,0.0,0.0,3.79211727731,-0.0232374950768,-0.0176844898755,-0.0203051580394,-2.35510254101,2.33479738297,Ll
377,31.604708,65.724751,0.0,0.0,3.69790261959,-0.0116187475384,-0.00722478024622,-0.0101525790197,-0.934738344611,0.924585765591,Ll
410,31.605708,65.700751,0.0,0.0,3.15100809131,-0.4012209284,-0.00377778229704,-0.350590902029,-0.466657236664,0.116066334635,Ll
411,31.605708,65.701751,0.0,0.0,3.16309673257,-0.278849940922,-0.0059973356209,-0.243661896473,-0.768058918446,0.524397021974,Ll
412,31.605708,65.702751,0.0,0.0,3.15643416924,-0.276972429478,-0.00411099249487,-0.242021307999,-0.511905130885,0.269883822886,Ll
413,31.605708,65.703751,0.0,0.0,3.15947493448,-0.19098437199,-0.00341560026922,-0.166884074359,-0.417475146231,0.250591071872,Ll
414,31.605708,65.704751,0.0,0.0,3.18357218282,-0.0680487671153,-0.00285833446812,-0.0594617004154,-0.341801879973,0.282340179558,Ll
415,31.605708,65.705751,0.0,0.0,3.14394518631,-0.406732926434,-0.000956854284702,-0.355407341616,-0.0835925731747,0.271814768441,Ll
416,31.605708,65.706751,0.0,0.0,6.27606204416,0.404732023885,-0.00288306142299,0.353658932747,-0.345159648269,0.698818581017,Hl
417,31.605708,65.707751,0.0,0.0,3.16463281627,-0.376884332605,-0.00868501319838,-0.329325338674,-1.13302899293,0.803703654259,Ll
418,31.605708,65.708751,0.0,0.0,3.15562726467,-1.26186341956,-0.0177109251886,-1.10262900857,-2.35869229384,1.25606328527,Ll
419,31.605708,65.709751,0.0,0.0,3.14463660319,-3.36158955593,-0.0102325407875,-2.93739092665,-1.34317371572,1.59421721093,Ll
