ID,lat,lon,COUNTt1,COUNTt2
1,31.598708,65.690751,0,0
2,31.598708,65.691751,0,0
3,31.598708,65.692751,0,0
4,31.598708,65.693751,0,0
5,31.598708,65.694751,0,0
6,31.598708,65.695751,0,0
7,31.598708,65.696751,0,0
8,31.598708,65.697751,0,0
9,31.598708,65.698751,0,0
10,31.598708,65.699751,0,0
11,31.598708,65.700751,4,0
12,31.598708,65.701751,0,0
13,31.598708,65.702751,0,0
14,31.598708,65.703751,0,0
15,31.598708,65.704751,0,0
16,31.598708,65.705751,0,0
17,31.598708,65.706751,0,0
18,31.598708,65.707751,0,0
19,31.598708,65.708751,0,0
20,31.598708,65.709751,0,0
21,31.598708,65.710751,0,0
22,31.598708,65.711751,0,0
23,31.598708,65.712751,0,0
24,31.598708,65.713751,0,0
25,31.598708,65.714751,0,0
26,31.598708,65.715751,0,0
27,31.598708,65.716751,0,0
28,31.598708,65.717751,3,0
29,31.598708,65.718751,0,0
30,31.598708,65.719751,0,0
31,31.598708,65.720751,0,0
32,31.598708,65.721751,12,0
33,31.598708,65.722751,0,0
34,31.598708,65.723751,9,0
35,31.598708,65.724751,0,0
36,31.598708,65.725751,0,0
37,31.598708,65.726751,0,0
38,31.598708,65.727751,0,0
39,31.598708,65.728751,0,0
40,31.598708,65.729751,0,0
41,31.598708,65.730751,0,0
42,31.598708,65.731751,0,0
43,31.598708,65.732751,0,0
44,31.598708,65.733751,0,0
45,31.598708,65.734751,0,0
46,31.598708,65.735751,0,0
47,31.598708,65.736751,0,0
48,31.598708,65.737751,0,0
49,31.598708,65.738751,0,0
50,31.598708,65.739751,0,0
51,31.598708,65.740751,0,0
52,31.598708,65.741751,0,0
53,31.598708,65.742751,0,0
54,31.598708,65.743751,0,0
55,31.598708,65.744751,0,0
56,31.598708,65.745751,0,0
57,31.598708,65.746751,0,0
58,31.599708,65.690751,0,0
59,31.599708,65.691751,0,0
60,31.599708,65.692751,0,0
61,31.599708,65.693751,0,0
62,31.599708,65.694751,0,0
63,31.599708,65.695751,0,0
64,31.599708,65.696751,0,0
65,31.599708,65.697751,0,0
66,31.599708,65.698751,0,0
67,31.599708,65.699751,0,0
68,31.599708,65.700751,0,0
69,31.599708,65.701751,0,0
70,31.599708,65.702751,0,0
71,31.599708,65.703751,11,0
72,31.599708,65.704751,0,0
73,31.599708,65.705751,0,0
74,31.599708,65.706751,0,0
75,31.599708,65.707751,0,0
76,31.599708,65.708751,0,0
77,31.599708,65.709751,23,0
78,31.599708,65.710751,0,0
79,31.599708,65.711751,0,0
80,31.599708,65.712751,0,0
81,31.599708,65.713751,0,0
82,31.599708,65.714751,0,0
83,31.599708,65.715751,0,0
84,31.599708,65.716751,0,0
85,31.599708,65.717751,5,0
86,31.599708,65.718751,1,0
87,31.599708,65.719751,0,0
88,31.599708,65.720751,0,0
89,31.599708,65.721751,0,0
90,31.599708,65.722751,0,0
91,31.599708,65.723751,0,0
92,31.599708,65.724751,0,0
93,31.599708,65.725751,0,0
94,31.599708,65.726751,0,0
95,31.599708,65.727751,0,0
96,31.599708,65.728751,0,0
97,31.599708,65.729751,0,0
98,31.599708,65.730751,0,0
99,31.599708,65.731751,0,0
100,31.599708,65.732751,0,0
101,31.599708,65.733751,0,0
102,31.599708,65.734751,0,0
103,31.599708,65.735751,0,0
104,31.599708,65.736751,0,0
105,31.599708,65.737751,0,0
106,31.599708,65.738751,0,0
107,31.599708,65.739751,0,0
108,31.599708,65.740751,0,0
109,31.599708,65.741751,0,0
110,31.599708,65.742751,0,0
111,31.599708,65.743751,0,0
112,31.599708,65.744751,0,0
113,31.599708,65.745751,0,0
114,31.599708,65.746751,0,0
115,31.600708,65.690751,0,0
116,31.600708,65.691751,0,0
117,31.600708,65.692751,0,0
118,31.600708,65.693751,0,0
119,31.600708,65.694751,0,0
120,31.600708,65.695751,0,0
121,31.600708,65.696751,0,0
122,31.600708,65.697751,0,0
123,31.600708,65.698751,0,0
124,31.600708,65.699751,0,0
125,31.600708,65.700751,0,0
126,31.600708,65.701751,0,0
127,31.600708,65.702751,0,0
128,31.600708,65.703751,2,0
129,31.600708,65.704751,1,0
130,31.600708,65.705751,0,0
131,31.600708,65.706751,20,0
132,31.600708,65.707751,2,0
133,31.600708,65.708751,0,0
134,31.600708,65.709751,61,0
135,31.600708,65.710751,0,0
136,31.600708,65.711751,0,0
137,31.600708,65.712751,0,0
138,31.600708,65.713751,0,0
139,31.600708,65.714751,0,0
140,31.600708,65.715751,0,0
141,31.600708,65.716751,0,0
142,31.600708,65.717751,0,0
143,31.600708,65.718751,16,0
144,31.600708,65.719751,2,0
145,31.600708,65.720751,0,0
146,31.600708,65.721751,0,0
147,31.600708,65.722751,0,0
148,31.600708,65.723751,0,0
149,31.600708,65.724751,0,0
150,31.600708,65.725751,0,0
151,31.600708,65.726751,0,0
152,31.600708,65.727751,0,0
153,31.600708,65.728751,0,0
154,31.600708,65.729751,0,0
155,31.600708,65.730751,0,0
156,31.600708,65.731751,0,0
157,31.600708,65.732751,0,0
158,31.600708,65.733751,0,0
159,31.600708,65.734751,0,0
160,31.600708,65.735751,0,0
161,31.600708,65.736751,0,0
162,31.600708,65.737751,0,0
163,31.600708,65.738751,0,0
164,31.600708,65.739751,0,0
165,31.600708,65.740751,0,0
166,31.600708,65.741751,0,0
167,31.600708,65.742751,0,0
168,31.600708,65.743751,0,0
169,31.600708,65.744751,0,0
170,31.600708,65.745751,0,0
171,31.600708,65.746751,0,0
172,31.601708,65.690751,0,0
173,31.601708,65.691751,0,0
174,31.601708,65.692751,0,0
175,31.601708,65.693751,0,0
176,31.601708,65.694751,0,0
177,31.601708,65.695751,0,0
178,31.601708,65.696751,0,0
179,31.601708,65.697751,0,0
180,31.601708,65.698751,0,0
181,31.601708,65.699751,0,0
182,31.601708,65.700751,0,0
183,31.601708,65.701751,0,0
184,31.601708,65.702751,0,0
185,31.601708,65.703751,0,0
186,31.601708,65.704751,0,0
187,31.601708,65.705751,0,0
188,31.601708,65.706751,0,0
189,31.601708,65.707751,14,0
190,31.601708,65.708751,0,0
191,31.601708,65.709751,97,0
192,31.601708,65.710751,0,0
193,31.601708,65.711751,0,0
194,31.601708,65.712751,0,0
195,31.601708,65.713751,0,0
196,31.601708,65.714751,0,0
197,31.601708,65.715751,0,0
198,31.601708,65.716751,0,0
199,31.601708,65.717751,21,0
200,31.601708,65.718751,6,0
201,31.601708,65.719751,0,0
202,31.601708,65.720751,0,0
203,31.601708,65.721751,0,0
204,31.601708,65.722751,0,0
205,31.601708,65.723751,0,0
206,31.601708,65.724751,0,0
207,31.601708,65.725751,0,0
208,31.601708,65.726751,0,0
209,31.601708,65.727751,0,0
210,31.601708,65.728751,0,0
211,31.601708,65.729751,0,0
212,31.601708,65.730751,0,0
213,31.601708,65.731751,0,0
214,31.601708,65.732751,0,0
215,31.601708,65.733751,0,0
216,31.601708,65.734751,0,0
217,31.601708,65.735751,0,0
218,31.601708,65.736751,0,0
219,31.601708,65.737751,0,0
220,31.601708,65.738751,0,0
221,31.601708,65.739751,0,0
222,31.601708,65.740751,0,0
223,31.601708,65.741751,0,0
224,31.601708,65.742751,0,0
225,31.601708,65.743751,0,0
226,31.601708,65.744751,0,0
227,31.601708,65.745751,0,0
228,31.601708,65.746751,0,0
229,31.602708,65.690751,0,0
230,31.602708,65.691751,0,0
231,31.602708,65.692751,0,0
232,31.602708,65.693751,0,0
233,31.602708,65.694751,0,0
234,31.602708,65.695751,0,0
235,31.602708,65.696751,0,0
236,31.602708,65.697751,0,0
237,31.602708,65.698751,0,0
238,31.602708,65.699751,0,0
239,31.602708,65.700751,0,0
240,31.602708,65.701751,0,0
241,31.602708,65.702751,0,0
242,31.602708,65.703751,0,0
243,31.602708,65.704751,0,0
244,31.602708,65.705751,0,0
245,31.602708,65.706751,0,0
246,31.602708,65.707751,0,0
247,31.602708,65.708751,6,0
248,31.602708,65.709751,31,0
249,31.602708,65.710751,0,0
250,31.602708,65.711751,0,0
251,31.602708,65.712751,0,0
252,31.602708,65.713751,0,0
253,31.602708,65.714751,0,0
254,31.602708,65.715751,0,0
255,31.602708,65.716751,3,0
256,31.602708,65.717751,0,0
257,31.602708,65.718751,0,0
258,31.602708,65.719751,0,0
259,31.602708,65.720751,0,0
260,31.602708,65.721751,0,0
261,31.602708,65.722751,0,0
